0.000000	-15.000000
0.100000	-12.332525
0.200000	-9.950400
0.300000	-7.834526
0.400000	-5.966401
0.500000	-4.328127
0.600000	-2.902401
0.700000	-1.672526
0.800000	-0.622402
0.900000	0.263473
1.000000	0.999999
1.100000	1.601473
1.200000	2.081598
1.300000	2.453472
1.400000	2.729599
1.500000	2.921875
1.600000	3.041599
1.700000	3.099472
1.800000	3.105598
1.900000	3.069469
2.000000	2.999996
2.100000	2.905464
2.200000	2.793594
2.300000	2.671471
2.400000	2.545593
2.500000	2.421867
2.600000	2.305592
2.700000	2.201477
2.799999	2.113590
2.899999	2.045479
2.999999	1.999985
3.099999	1.979462
3.199999	1.985588
3.299999	2.019455
3.399999	2.081596
3.499999	2.171875
3.599999	2.289597
3.699999	2.433456
3.799999	2.601570
3.899998	2.791451
3.999998	2.999977
4.099998	3.223442
4.199998	3.457588
4.299998	3.697487
4.399998	3.937584
4.499998	4.171829
4.599998	4.393616
4.699998	4.595413
4.799998	4.769592
4.899998	4.907440
4.999998	4.999985
