0	0.0	0.0	0.0	0.0
1	0.4	0.2	0.0	0.2
2	0.6	0.3	0.1	0.3
3	0.9	0.4	0.1	0.5
4	1.3	0.7	0.2	0.6
5	1.4	0.8	0.4	0.8
6	1.6	0.9	0.5	0.9
7	1.9	1.2	0.7	1.1
8	2.0	1.3	0.9	1.2
9	2.0	1.3	1.0	1.4
10	2.1	1.6	1.1	1.5
11	2.2	1.8	1.3	1.7
12	2.1	1.8	1.4	1.8
13	2.2	2.0	1.6	2.0
14	2.3	2.2	1.8	2.1
15	2.1	2.2	1.9	2.3
16	2.1	2.3	2.0	2.4
17	2.2	2.6	2.2	2.5
18	2.2	2.7	2.3	2.7
19	2.1	2.7	2.4	2.8
20	2.3	3.0	2.6	2.9
21	2.4	3.1	2.7	3.1
22	2.4	3.1	2.8	3.2
23	2.6	3.3	3.0	3.3
24	2.9	3.5	3.1	3.4
25	3.0	3.5	3.2	3.5
26	3.2	3.6	3.3	3.6
27	3.6	3.8	3.5	3.7
28	3.7	3.8	3.6	3.9
29	3.9	3.9	3.7	3.9
30	4.3	4.1	3.8	4.0
31	4.5	4.2	3.9	4.1
32	4.6	4.1	4.0	4.2
33	4.9	4.3	4.1	4.3
34	5.1	4.4	4.2	4.4
35	5.1	4.4	4.2	4.5
36	5.2	4.5	4.3	4.5
37	5.4	4.7	4.4	4.6
38	5.2	4.6	4.5	4.6
39	5.2	4.6	4.5	4.7
40	5.3	4.8	4.6	4.8
41	5.1	4.8	4.7	4.8
42	4.9	4.8	4.7	4.8
43	4.9	4.9	4.8	4.9
44	4.8	5.0	4.8	4.9
45	4.5	4.9	4.8	4.9
46	4.5	5.0	4.9	5.0
47	4.5	5.0	4.9	5.0
48	4.3	4.9	4.9	5.0
49	4.3	5.0	4.9	5.0
50	4.4	5.1	5.0	5.0
51	4.3	5.0	5.0	5.0
52	4.3	4.9	5.0	5.0
53	4.5	5.0	5.0	5.0
54	4.5	5.0	5.0	5.0
55	4.5	4.9	5.0	4.9
56	4.8	4.9	5.0	4.9
57	4.9	4.9	5.0	4.9
58	4.9	4.8	4.9	4.8
59	5.1	4.8	4.9	4.8
60	5.3	4.8	4.9	4.8
61	5.2	4.7	4.8	4.7
62	5.2	4.6	4.8	4.7
63	5.4	4.7	4.7	4.6
64	5.2	4.5	4.7	4.5
65	5.1	4.4	4.6	4.5
66	5.1	4.4	4.6	4.4
67	4.9	4.3	4.5	4.3
68	4.6	4.1	4.4	4.2
69	4.5	4.2	4.3	4.1
70	4.3	4.1	4.3	4.0
71	4.0	3.9	4.2	4.0
72	3.7	3.8	4.1	3.9
73	3.6	3.8	4.0	3.8
74	3.2	3.6	3.9	3.6
75	3.0	3.5	3.8	3.5
76	2.9	3.5	3.7	3.4
77	2.7	3.3	3.6	3.3
78	2.4	3.1	3.5	3.2
79	2.4	3.1	3.4	3.1
80	2.3	3.0	3.3	2.9
81	2.1	2.7	3.1	2.8
82	2.2	2.7	3.0	2.7
83	2.2	2.6	2.9	2.6
84	2.1	2.4	2.8	2.4
85	2.1	2.2	2.6	2.3
86	2.3	2.2	2.5	2.1
87	2.2	2.0	2.4	2.0
88	2.1	1.8	2.2	1.8
89	2.2	1.8	2.1	1.7
90	2.2	1.6	2.0	1.6
91	2.0	1.3	1.8	1.4
92	2.0	1.3	1.6	1.3
93	1.9	1.2	1.5	1.1
94	1.6	0.9	1.4	0.9
95	1.4	0.8	1.2	0.8
96	1.3	0.7	1.1	0.6
97	0.9	0.4	0.9	0.5
98	0.6	0.3	0.7	0.3
99	0.4	0.2	0.6	0.2
100	0.0	0.0	0.5	0.0
101	-0.4	-0.2	0.3	-0.1
102	-0.6	-0.3	0.1	-0.3
103	-0.8	-0.4	-0.0	-0.5
104	-1.2	-0.7	-0.2	-0.6
105	-1.4	-0.8	-0.4	-0.8
106	-1.5	-0.9	-0.5	-0.9
107	-1.9	-1.1	-0.7	-1.1
108	-2.0	-1.3	-0.8	-1.2
109	-2.0	-1.3	-1.0	-1.4
110	-2.1	-1.6	-1.1	-1.5
111	-2.2	-1.8	-1.3	-1.7
112	-2.1	-1.8	-1.4	-1.8
113	-2.2	-1.9	-1.6	-2.0
114	-2.3	-2.2	-1.7	-2.1
115	-2.1	-2.2	-1.9	-2.3
116	-2.1	-2.3	-2.0	-2.4
117	-2.2	-2.6	-2.2	-2.5
118	-2.2	-2.7	-2.3	-2.7
119	-2.1	-2.7	-2.4	-2.8
120	-2.3	-3.0	-2.6	-2.9
121	-2.4	-3.1	-2.7	-3.1
122	-2.4	-3.1	-2.8	-3.2
123	-2.6	-3.3	-2.9	-3.3
124	-2.9	-3.5	-3.1	-3.4
125	-3.0	-3.5	-3.2	-3.5
126	-3.2	-3.6	-3.3	-3.6
127	-3.6	-3.8	-3.5	-3.7
128	-3.7	-3.8	-3.6	-3.8
129	-3.9	-3.9	-3.6	-3.9
130	-4.3	-4.1	-3.8	-4.0
131	-4.5	-4.2	-3.9	-4.1
132	-4.6	-4.1	-4.0	-4.2
133	-4.9	-4.3	-4.0	-4.3
134	-5.1	-4.4	-4.2	-4.4
135	-5.1	-4.4	-4.2	-4.5
136	-5.2	-4.5	-4.3	-4.5
137	-5.4	-4.7	-4.4	-4.6
138	-5.2	-4.6	-4.5	-4.6
139	-5.2	-4.6	-4.5	-4.7
140	-5.3	-4.8	-4.6	-4.8
141	-5.1	-4.8	-4.7	-4.8
142	-4.9	-4.8	-4.7	-4.8
143	-4.9	-4.9	-4.8	-4.9
144	-4.8	-5.0	-4.8	-4.9
145	-4.5	-4.9	-4.8	-4.9
146	-4.5	-5.0	-4.9	-5.0
147	-4.5	-5.1	-4.9	-5.0
148	-4.3	-4.9	-4.9	-5.0
149	-4.3	-5.0	-4.9	-5.0
150	-4.4	-5.1	-5.0	-5.0
151	-4.3	-5.0	-5.0	-5.0
152	-4.3	-4.9	-5.0	-5.0
153	-4.5	-5.0	-5.0	-5.0
154	-4.5	-5.0	-5.0	-5.0
155	-4.5	-4.9	-5.0	-4.9
156	-4.8	-4.9	-5.0	-4.9
157	-4.9	-4.9	-5.0	-4.9
158	-4.9	-4.8	-4.9	-4.8
159	-5.1	-4.8	-4.9	-4.8
160	-5.2	-4.8	-4.9	-4.8
161	-5.2	-4.7	-4.8	-4.7
162	-5.2	-4.6	-4.8	-4.7
163	-5.4	-4.7	-4.7	-4.6
164	-5.2	-4.5	-4.7	-4.5
165	-5.1	-4.4	-4.6	-4.5
166	-5.1	-4.4	-4.6	-4.4
167	-5.0	-4.4	-4.5	-4.3
168	-4.6	-4.1	-4.4	-4.2
169	-4.5	-4.2	-4.3	-4.1
170	-4.4	-4.1	-4.3	-4.1
171	-4.0	-3.9	-4.2	-4.0
172	-3.8	-3.8	-4.1	-3.9
173	-3.6	-3.8	-4.0	-3.8
174	-3.3	-3.6	-3.9	-3.7
175	-3.0	-3.5	-3.8	-3.5
176	-2.9	-3.5	-3.7	-3.4
177	-2.7	-3.3	-3.6	-3.3
178	-2.4	-3.1	-3.5	-3.2
179	-2.4	-3.1	-3.4	-3.1
180	-2.3	-3.0	-3.3	-3.0
181	-2.1	-2.7	-3.2	-2.8
182	-2.2	-2.7	-3.0	-2.7
183	-2.2	-2.6	-2.9	-2.6
184	-2.1	-2.4	-2.8	-2.4
185	-2.1	-2.2	-2.6	-2.3
186	-2.3	-2.2	-2.5	-2.1
187	-2.2	-2.0	-2.4	-2.0
188	-2.1	-1.8	-2.2	-1.9
189	-2.2	-1.8	-2.1	-1.7
190	-2.2	-1.6	-2.0	-1.6
191	-2.0	-1.3	-1.8	-1.4
192	-2.0	-1.3	-1.6	-1.3
193	-1.9	-1.2	-1.5	-1.1
194	-1.6	-0.9	-1.4	-1.0
195	-1.4	-0.8	-1.2	-0.8
196	-1.3	-0.7	-1.1	-0.6
197	-0.9	-0.5	-0.9	-0.5
198	-0.6	-0.3	-0.7	-0.3
199	-0.4	-0.2	-0.6	-0.2
